r,N_LSP,N_B,Phi,phi
1e-09,0.0,0.0,2.1428571428571432,3.32110441098046e-27
0.005000251012450623,4.592837919820382e-13,1.3924657779268656e-25,1.928463027943939,-1.5699601536837832e-07
0.010000501024901244,4.597418450635733e-13,1.8843119488554924e-25,1.9284614473709905,-1.5701791254551437e-07
0.015000751037351868,4.635590004941421e-13,5.984161782902654e-25,1.928458813068482,-1.5705441231023374e-07
0.02000100104980249,4.81145971104577e-13,2.488050196524177e-24,1.9284551250147945,-1.5710552137077598e-07
0.02500125106225311,5.387386832695477e-13,8.679047045705224e-24,1.928450383179663,-1.5717124912075627e-07
0.030001501074703736,6.900608042202992e-13,2.4955182962798493e-23,1.928444587524182,-1.5725160764127286e-07
0.03500175108715436,1.031320659844827e-12,6.168679950975233e-23,1.9284377380007933,-1.5734661170367403e-07
0.04000200109960498,1.719544398908455e-12,1.3582479603127904e-22,1.9284298345532949,-1.5745627877280907e-07
0.0450022511120556,2.9942477479447127e-12,2.7326925248897124e-22,1.9284208771168412,-1.5758062901088958e-07
0.05000250112450622,5.202447640219559e-12,5.11618620035e-22,1.928410865617925,-1.577196852822791e-07
0.055002751136956844,8.82701786240506e-12,9.033066339060992e-22,1.9283997999744162,-1.5787347315808723e-07
0.06000300114940747,1.4518392166044883e-11,1.5191349840072085e-21,1.9283876800955153,-1.5804202092250446e-07
0.0650032511618581,2.3129620128325074e-11,2.4522109558979438e-21,1.9283745058817843,-1.5822535957877688e-07
0.07000350117430872,3.575476718535857e-11,3.8222986220352936e-21,1.9283602772251425,-1.5842352285610356e-07
0.07500375118675934,5.377069019971265e-11,5.78059757593796e-21,1.9283449940088289,-1.5863654721782735e-07
0.08000400119920996,7.888216689016324e-11,8.51495845678224e-21,1.9283286561074953,-1.588644718682167e-07
0.08500425121166058,1.1317038233932431e-10,1.2255548193337636e-20,1.9283112633870656,-1.5910733876327762e-07
0.0900045012241112,1.5914482683175013e-10,1.7280984474029806e-20,1.9282928157048917,-1.5936519261795787e-07
0.09500475123656182,2.1979851968694996e-10,2.3924944949392285e-20,1.9282733129096148,-1.5963808091807107e-07
0.10000500124901245,2.9866668539088966e-10,3.2583280813924965e-20,1.9282527548412514,-1.5992605392977717e-07
0.10500525126146307,3.9988876882505627e-10,4.3721639305834126e-20,1.9282311413311772,-1.6022916471106408e-07
0.11000550127391369,5.282738524082342e-10,5.788362019962577e-20,1.9282084722020774,-1.6054746912433212e-07
0.11500575128636431,6.893695436219676e-10,7.569949322843836e-20,1.92818474726804,-1.608810258476142e-07
0.12000600129881495,8.895341737615148e-10,9.789547944869054e-20,1.9281599663344418,-1.6122989638931613e-07
0.12500625131126555,1.1360125588170884e-09,1.2530364630988013e-19,1.928134129198024,-1.6159414510095906e-07
0.1300065013237162,1.4370151186300378e-09,1.5887241705697079e-19,1.9281072356469526,-1.619738391907798e-07
0.1350067513361668,1.801800288716535e-09,1.9967771150714238e-19,1.9280792854606246,-1.6236904874148666e-07
0.14000700134861743,2.240760532734978e-09,2.489347788459493e-19,1.928050278409795,-1.627798467242342e-07
0.14500725136106804,2.7655120271012903e-09,3.0801075787742813e-19,1.9280202142565783,-1.632063090149664e-07
0.15000750137351868,3.3889877291560958e-09,3.784379617920664e-19,1.9279890927545191,-1.6364851441040977e-07
0.15500775138596928,4.125533427009031e-09,4.619278725494036e-19,1.9279569136484234,-1.6410654464818944e-07
0.16000800139841992,4.991007526161808e-09,5.603859615736183e-19,1.9279236766744154,-1.6458048442432165e-07
0.16500825141087055,6.0028848227539905e-09,6.759273996835661e-19,1.9278893815599425,-1.6507042141221952e-07
0.17000850142332116,7.1803635548586725e-09,8.108936124730081e-19,1.9278540280239265,-1.6557644628016256e-07
0.1750087514357718,8.544475516683503e-09,9.678696931602333e-19,1.9278176157764975,-1.6609865271548168e-07
0.1800090014482224,1.01181996588897e-08,1.1497027590690013e-18,1.9277801445191274,-1.6663713744371398e-07
0.18500925146067304,1.192658131992088e-08,1.3595215443136401e-18,1.9277416139446906,-1.671920002494109e-07
0.19000950147312365,1.39968525889262e-08,1.600756750610434e-18,1.9277020237374307,-1.6776334399906945e-07
0.19500975148557428,1.6358555543309294e-08,1.8771624011186892e-18,1.9276613735728374,-1.6835127466600844e-07
0.2000100014980249,1.904367159320499e-08,2.1928386224219423e-18,1.9276196631177365,-1.6895590135290075e-07
0.20501025151047553,2.2086753386575843e-08,2.552255493309034e-18,1.9275768920302876,-1.6957733631632102e-07
0.21001050152292614,2.5525060338840848e-08,2.9602781361572693e-18,1.9275330599599847,-1.7021569499200607e-07
0.21501075153537677,2.9398698020063657e-08,3.4221931343468826e-18,1.9274881665476533,-1.7087109602082314e-07
0.22001100154782738,3.3750762641601635e-08,3.943736483934545e-18,1.9274422114255298,-1.7154366127430845e-07
0.22501125156027801,3.8627485740189e-08,4.531122549247803e-18,1.9273951942171463,-1.7223351588378454e-07
0.23001150157272862,4.407838272115125e-08,5.1910745230445655e-18,1.9273471145373058,-1.7294078826884843e-07
0.23501175158517926,5.0156408358456204e-08,5.93085683315212e-18,1.9272979719921395,-1.736656101654837e-07
0.2400120015976299,5.691811440162375e-08,6.758308983077722e-18,1.9272477661791034,-1.744081166557404e-07
0.2450122516100805,6.44238109319571e-08,7.681881093931937e-18,1.9271964966869801,-1.7516844619817651e-07
0.25001250162253114,7.273773147382454e-08,8.710671225760592e-18,1.9271441630958717,-1.759467406590664e-07
0.25501275163498177,8.192820502339102e-08,9.854464957074064e-18,1.9270907649772573,-1.7674314534356425e-07
0.2600130016474324,9.2067826090345e-08,1.1123776185281473e-17,1.92703630189394,-1.7755780902922447e-07
0.26501325165988304,1.0323362796497395e-07,1.2529889884731275e-17,1.9269807733999762,-1.7839088400059017e-07
0.2700135016723336,1.1550726572631045e-07,1.4084907732580474e-17,1.92692417904074,-1.7924252608258093e-07
0.27501375168478426,1.2897520054098624e-07,1.5801795641753273e-17,1.9268665183529199,-1.8011289467565762e-07
0.2800140016972349,1.437288877248297e-07,1.7694433608246247e-17,1.926807790864521,-1.8100215279180263e-07
0.28501425170968553,1.598649687073462e-07,1.9777667992366565e-17,1.926747996094858,-1.8191046709132544e-07
0.2900145017221361,1.774854708434787e-07,2.2067366866739042e-17,1.926687133554593,-1.828380079199675e-07
0.29501475173458674,1.9669800465267798e-07,2.4580477168884258e-17,1.926625202745726,-1.8378494934744558e-07
0.3000150017470374,2.1761596287297572e-07,2.7335084343527653e-17,1.9265622031614975,-1.8475146920828934e-07
0.305015251759488,2.403587308416569e-07,3.035047585894255e-17,1.9264981342864544,-1.857377491410233e-07
0.3100155017719386,2.6505189910467825e-07,3.3647207533191704e-17,1.9264329955964448,-1.8674397462920528e-07
0.31501575178438923,2.9182747924930737e-07,3.7247172927771725e-17,1.9263667865586231,-1.8777033504337197e-07
0.32001600179683987,3.208241237760849e-07,4.117367606206317e-17,1.926299506631443,-1.8881702368387497e-07
0.3250162518092905,3.5218735456155004e-07,4.545150823889575e-17,1.926231155264679,-1.8988423782428746e-07
0.33001650182174114,3.860697891606136e-07,5.0107027623291017e-17,1.926161731899447,-1.9097217875566883e-07
0.3350167518341917,4.2263136637829714e-07,5.5168241913382046e-17,1.9260912359680942,-1.9208105183385752e-07
0.34001700184664235,4.620395843752693e-07,6.066489614516828e-17,1.92601966689426,-1.932110665250481e-07
0.345017251859093,5.044697433531037e-07,6.662856469380789e-17,1.9259470240928735,-1.9436243645315916e-07
0.3500175018715436,5.501051814102532e-07,7.309274598339107e-17,1.925873306970334,-1.9553537944527297e-07
0.3550177518839942,5.991375364557789e-07,8.009296492941554e-17,1.925798514923683,-1.967301175947185e-07
0.36001800189644484,6.51767013526617e-07,8.766688031644108e-17,1.9257226473419915,-1.9794687728837917e-07
0.3650182519088955,7.082026297163293e-07,9.585439319213455e-17,1.9256457036054633,-1.9918588927278197e-07
0.3700185019213461,7.686624624498575e-07,1.0469776015720309e-16,1.925567683085477,-2.0044738870580476e-07
0.3750187519337967,8.333739153633714e-07,1.1424171399859398e-16,1.9254885851446737,-2.017316152085544e-07
0.3800190019462473,9.025739973426955e-07,1.2453359129369635e-16,1.925408409136973,-2.030388129194395e-07
0.38501925195869796,9.765095975258388e-07,1.3562346461360086e-16,1.9253271544075727,-2.043692305496074e-07
