r,ThetaLSP,ThetaB,ChiLSP,ChiB,Phi,phi
1e-09,-1.6433817985355186,-0.6156952800955805,0.0,0.0,2.1428571428571432,3.32110441098046e-27
0.005000251012450623,-1.6433817893507667,-0.6156952800955805,4.592837919820382e-13,1.3924657779268656e-25,1.928463027943939,-1.5699601536837832e-07
0.010000501024901244,-1.6433817790167757,-0.6156952800955805,4.597418450635733e-13,1.8843119488554924e-25,1.9284614473709905,-1.5701791254551437e-07
0.015000751037351868,-1.6433817775241937,-0.6156952800955805,4.635590004941421e-13,5.984161782902654e-25,1.928458813068482,-1.5705441231023374e-07
0.02000100104980249,-1.643381777030508,-0.6156952800955805,4.81145971104577e-13,2.488050196524177e-24,1.9284551250147945,-1.5710552137077598e-07
0.02500125106225311,-1.6433817767939753,-0.6156952800955805,5.387386832695477e-13,8.679047045705224e-24,1.928450383179663,-1.5717124912075627e-07
0.030001501074703736,-1.6433817766438976,-0.6156952800955805,6.900608042202992e-13,2.4955182962798493e-23,1.928444587524182,-1.5725160764127286e-07
0.03500175108715436,-1.6433817765198804,-0.6156952800955805,1.031320659844827e-12,6.168679950975233e-23,1.9284377380007933,-1.5734661170367403e-07
0.04000200109960498,-1.643381776392588,-0.6156952800955805,1.719544398908455e-12,1.3582479603127904e-22,1.9284298345532949,-1.5745627877280907e-07
0.0450022511120556,-1.6433817762432865,-0.6156952800955805,2.9942477479447127e-12,2.7326925248897124e-22,1.9284208771168412,-1.5758062901088958e-07
0.05000250112450622,-1.6433817760571094,-0.6156952800955805,5.202447640219559e-12,5.11618620035e-22,1.928410865617925,-1.577196852822791e-07
0.055002751136956844,-1.6433817758204468,-0.6156952800955805,8.82701786240506e-12,9.033066339060992e-22,1.9283997999744162,-1.5787347315808723e-07
0.06000300114940747,-1.6433817755198026,-0.6156952800955805,1.4518392166044883e-11,1.5191349840072085e-21,1.9283876800955153,-1.5804202092250446e-07
0.0650032511618581,-1.6433817751412472,-0.6156952800955805,2.3129620128325074e-11,2.4522109558979438e-21,1.9283745058817843,-1.5822535957877688e-07
0.07000350117430872,-1.6433817746701347,-0.6156952800955805,3.575476718535857e-11,3.8222986220352936e-21,1.9283602772251425,-1.5842352285610356e-07
0.07500375118675934,-1.6433817740909482,-0.6156952800955805,5.377069019971265e-11,5.78059757593796e-21,1.9283449940088289,-1.5863654721782735e-07
0.08000400119920996,-1.6433817733872107,-0.6156952800955805,7.888216689016324e-11,8.51495845678224e-21,1.9283286561074953,-1.588644718682167e-07
0.08500425121166058,-1.6433817725414308,-0.6156952800955805,1.1317038233932431e-10,1.2255548193337636e-20,1.9283112633870656,-1.5910733876327762e-07
0.0900045012241112,-1.6433817715350696,-0.6156952800955805,1.5914482683175013e-10,1.7280984474029806e-20,1.9282928157048917,-1.5936519261795787e-07
0.09500475123656182,-1.6433817703485187,-0.6156952800955805,2.1979851968694996e-10,2.3924944949392285e-20,1.9282733129096148,-1.5963808091807107e-07
0.10000500124901245,-1.6433817689610855,-0.6156952800955805,2.9866668539088966e-10,3.2583280813924965e-20,1.9282527548412514,-1.5992605392977717e-07
0.10500525126146307,-1.6433817673509823,-0.6156952800955805,3.9988876882505627e-10,4.3721639305834126e-20,1.9282311413311772,-1.6022916471106408e-07
0.11000550127391369,-1.6433817654953207,-0.6156952800955805,5.282738524082342e-10,5.788362019962577e-20,1.9282084722020774,-1.6054746912433212e-07
0.11500575128636431,-1.6433817633701042,-0.6156952800955805,6.893695436219676e-10,7.569949322843836e-20,1.92818474726804,-1.608810258476142e-07
0.12000600129881495,-1.6433817609502253,-0.6156952800955805,8.895341737615148e-10,9.789547944869054e-20,1.9281599663344418,-1.6122989638931613e-07
