r,J_LSP,J_B,ratio_running
1e-09,1.836987792721902e+17,55099.80473358344,3333927954198.8184
0.005000251012450623,4.440808445425247e-08,4.767613545674428e-18,9314531060.20792
0.010000501024901244,1.7763352394846854e-07,1.9073954590998957e-17,9312883864.801388
0.015000751037351868,3.996808817035066e-07,4.292954303428325e-17,9310159238.926073
0.02000100104980249,7.105571617722902e-07,7.635188995067104e-17,9306346735.246012
0.02500125106225311,1.1102731242891969e-06,1.1936563597733235e-16,9301446896.324825
0.030001501074703736,1.598841465022762e-06,1.7200235642775933e-16,9295462563.585705
0.03500175108715436,2.176277822615021e-06,2.343007198013515e-16,9288395803.735245
0.04000200109960498,2.842601696573339e-06,3.0630659878429426e-16,9280249618.700321
0.0450022511120556,3.597836235222758e-06,3.880731051147202e-16,9271026999.305155
0.05000250112450622,4.442003456790731e-06,4.796601027567446e-16,9260731570.671104
0.055002751136956844,5.375132266698811e-06,5.811350933027449e-16,9249367881.31398
0.06000300114940747,6.39725322691668e-06,6.925727480367601e-16,9236940444.236378
0.0650032511618581,7.508404104554732e-06,8.140555918752751e-16,9223453753.641344
0.07000350117430872,8.708609873502572e-06,9.456717975123943e-16,9208913596.039047
0.07500375118675934,9.997924875739306e-06,1.0875199303752765e-15,9193325654.536985
0.08000400119920996,1.1376380791085715e-05,1.2397033342528105e-15,9176696131.04852
0.08500425121166058,1.2844023394044644e-05,1.4023342293722506e-15,9159031509.766556
0.0900045012241112,1.4400910319357026e-05,1.575533512092672e-15,9140338944.76119
0.09500475123656182,1.604707485562687e-05,1.7594269684122668e-15,9120625717.194723
0.10000500124901245,1.7782595530527307e-05,1.954152927732473e-15,9099899643.55634
0.10500525126146307,1.9607506319800503e-05,2.159852575145434e-15,9078168827.555384
0.11000550127391369,2.1521880139573998e-05,2.376679180492358e-15,9055441860.31683
0.11500575128636431,2.3525776687103496e-05,2.6047925503509195e-15,9031727568.45227
0.12000600129881495,2.5619254878775305e-05,2.844360443579058e-15,9007035285.070482
0.12500625131126555,2.7802399945623866e-05,3.095561800466886e-15,8981374541.264397
0.1300065013237162,3.0075275516365716e-05,3.358581493952529e-15,8954755324.686728
0.1350067513361668,3.243794291838208e-05,3.633612636628937e-15,8927187942.762163
0.14000700134861743,3.4890479517428294e-05,3.920858799714787e-15,8898682992.60517
0.14500725136106804,3.7432987191119286e-05,4.22053510894547e-15,8869251463.346357
0.15000750137351868,4.006555877797825e-05,4.5328647094989345e-15,8838904610.150414
0.15500775138596928,4.278824967338611e-05,4.858075677001097e-15,8807654000.935492
0.16000800139841992,4.5601149194680386e-05,5.196409239253582e-15,8775511530.19476
0.16500825141087055,4.850436262917736e-05,5.5481179904471014e-15,8742489383.371708
0.17000850142332116,5.149799170061812e-05,5.913463899257961e-15,8708599997.892984
0.1750087514357718,5.4582114756839055e-05,6.292716203835466e-15,8673856088.340797
0.1800090014482224,5.7756813531414876e-05,6.686154608916087e-15,8638270711.59786
0.18500925146067304,6.1022289912052765e-05,7.094083240851127e-15,8601857046.257536
0.19000950147312365,6.437857249650658e-05,7.516796735851447e-15,8564628625.575606
0.19500975148557428,6.78257713396628e-05,7.954610007781807e-15,8526599201.382652
0.2000100014980249,7.136399928314115e-05,8.407849440615253e-15,8487782730.55268
0.20501025151047553,7.499337233397464e-05,8.876853152384598e-15,8448193413.431548
0.21001050152292614,7.87140093227068e-05,9.361971267723844e-15,8407845641.876699
0.21501075153537677,8.252604098587369e-05,9.86356726709319e-15,8366754010.103107
0.22001100154782738,8.642965280343183e-05,1.0382023505948881e-14,8324933261.219048
0.22501125156027801,9.042490307528626e-05,1.0917719555940873e-14,8282398408.565238
