r,ThetaLSP,ThetaB,ChiLSP,ChiB,Phi,phi
71.71239041329665,-115674.833984375,0.02666916557394594,2449398811.781061,70.49240892064272,1.5696516927329656e-92,-1.7291559198680115
71.71572385774476,-115652.6962890625,0.02666980269608632,2449398811.781061,70.49242560504175,1.5517766399201973e-92,-1.7291565411858698
71.71905730219288,-115630.5615234375,0.02667043972954075,2449398811.781061,70.49244228577108,1.5340990815573046e-92,-1.7291571623920823
71.722390746641,-115608.4296875,0.026671076674325667,2449398811.781061,70.49245896283111,1.5166190176939462e-92,-1.7291577834866634
71.7257241910891,-115586.30078125,0.026671713530457497,2449398811.781061,70.49247563622225,1.4993364483798535e-92,-1.729158404469628
71.72905763553722,-115564.1748046875,0.026672350297952674,2449398811.781061,70.49249230594492,1.4822513736645386e-92,-1.7291590253409908
71.73239107998533,-115542.0517578125,0.02667298697682763,2449398811.781061,70.49250897199951,1.4653637935977341e-92,-1.7291596461007661
71.73572452443345,-115519.9326171875,0.026673623567098792,2449398811.781061,70.49252563438645,1.4486737082290989e-92,-1.7291602667489687
71.73905796888157,-115497.81640625,0.026674260068782596,2449398811.781061,70.49254229310614,1.4321811176082915e-92,-1.7291608872856135
71.74239141332968,-115475.703125,0.02667489648189547,2449398811.781061,70.49255894815899,1.4158860217849713e-92,-1.729161507710715
71.7457248577778,-115453.5927734375,0.02667553280645385,2449398811.781061,70.4925755995454,1.3997884208087967e-92,-1.729162128024288
71.7490583022259,-115431.4853515625,0.026676169042474163,2449398811.781061,70.4925922472658,1.3838883147294938e-92,-1.7291627482263467
71.75239174667402,-115409.380859375,0.02667680518997262,2449398811.781061,70.4926088913206,1.3681857035965859e-92,-1.7291633683169063
71.75572519112214,-115387.2802734375,0.026677441248965872,2449398811.781061,70.49262553171019,1.3526805874598002e-92,-1.7291639882959813
71.75905863557026,-115365.1826171875,0.02667807721947013,2449398811.781061,70.492642168435,1.337372966368795e-92,-1.7291646081635863
71.76239208001837,-115343.087890625,0.026678713101501828,2449398811.781061,70.49265880149542,1.3222628403732297e-92,-1.7291652279197358
71.76572552446649,-115320.99609375,0.026679348895077393,2449398811.781061,70.49267543089188,1.3073502095227627e-92,-1.7291658475644447
71.7690589689146,-115298.9072265625,0.026679984600213258,2449398811.781061,70.49269205662479,1.2926350738670526e-92,-1.7291664670977276
71.77239241336271,-115276.8212890625,0.026680620216925632,2449398811.781061,70.49270867869456,1.2781174334558203e-92,-1.729167086519599
71.77572585781083,-115254.73828125,0.02668125574523117,2449398811.781061,70.49272529710159,1.2637972883386005e-92,-1.7291677058300736
71.77905930225894,-115232.6591796875,0.02668189118514608,2449398811.781061,70.4927419118463,1.2496746385651141e-92,-1.7291683250291665
71.78239274670706,-115210.5830078125,0.026682526536686568,2449398811.781061,70.4927585229336,1.2357429226685612e-92,-1.7291689441169285
71.78572619115518,-115188.509765625,0.026683161799869293,2449398811.781061,70.49277513037423,1.2219508461254057e-92,-1.7291695630936612
71.7890596356033,-115166.439453125,0.02668379697471046,2449398811.781061,70.49279173417439,1.2082875069594446e-92,-1.7291701819594405
71.79239308005141,-115144.3720703125,0.026684432061226504,2449398811.781061,70.4928083343345,1.1947529052024799e-92,-1.729170800714281
71.79572652449951,-115122.3076171875,0.026685067059433853,2449398811.781061,70.49282493085495,1.1813470408863711e-92,-1.7291714193581966
71.79905996894763,-115100.24609375,0.02668570196934872,2449398811.781061,70.49284152373616,1.1680699140428068e-92,-1.7291720378912023
71.80239341339575,-115078.1884765625,0.02668633679098753,2449398811.781061,70.49285811297852,1.154921524703646e-92,-1.729172656313313
71.80572685784387,-115056.1337890625,0.0266869715243665,2449398811.781061,70.49287469858245,1.1419018729006922e-92,-1.7291732746245425
71.80906030229198,-115034.08203125,0.026687606169502054,2449398811.781061,70.49289128054836,1.1290109586657471e-92,-1.7291738928249059
71.8123937467401,-115012.033203125,0.026688240726410628,2449398811.781061,70.49290785887665,1.1162487820306136e-92,-1.7291745109144174
71.81572719118822,-114989.9873046875,0.02668887519510843,2449398811.781061,70.49292443356771,1.1036153430270941e-92,-1.729175128893092
71.81906063563632,-114967.9443359375,0.02668950957561167,2449398811.781061,70.49294100462195,1.091110641687044e-92,-1.729175746760944
71.82239408008444,-114945.904296875,0.026690143867937,2449398811.781061,70.4929575720398,1.0787346780421594e-92,-1.7291763645179883
71.82572752453255,-114923.8681640625,0.026690778072100407,2449398811.781061,70.49297413582164,1.066487452124296e-92,-1.7291769821642387
71.82906096898067,-114901.8349609375,0.026691412188118546,2449398811.781061,70.49299069596789,1.0543689639652566e-92,-1.7291775996997103
71.83239441342879,-114879.8046875,0.026692046216007403,2449398811.781061,70.49300725247895,1.0423792135968433e-92,-1.7291782171244179
71.8357278578769,-114857.77734375,0.026692680155783632,2449398811.781061,70.49302380535522,1.0305182010508592e-92,-1.7291788344383752
71.83906130232502,-114835.7529296875,0.02669331400746322,2449398811.781061,70.49304035459711,1.0187859263591062e-92,-1.7291794516415977
71.84239474677312,-114813.7314453125,0.0266939477710626,2449398811.781061,70.49305690020505,1.0071823895534365e-92,-1.729180068734099
71.84572819122124,-114791.712890625,0.026694581446598198,2449398811.781061,70.49307344217941,9.957075906655531e-93,-1.7291806857158947
71.84906163566936,-114769.6982421875,0.026695215034086006,2449398811.781061,70.49308998052062,9.843615297273086e-93,-1.7291813025869986
71.85239508011747,-114747.6865234375,0.026695848533542677,2449398811.781061,70.49310651522909,9.731442067705054e-93,-1.7291819193474258
71.85572852456559,-114725.677734375,0.026696481944984196,2449398811.781061,70.4931230463052,9.620556218269457e-93,-1.7291825359971904
71.85906196901371,-114703.671875,0.026697115268426996,2449398811.781061,70.49313957374939,9.510957749284323e-93,-1.7291831525363073
71.86239541346183,-114681.6689453125,0.026697748503887286,2449398811.781061,70.49315609756205,9.402646661067675e-93,-1.7291837689647906
71.86572885790993,-114659.6689453125,0.026698381651381498,2449398811.781061,70.49317261774358,9.295622953937995e-93,-1.7291843852826554
71.86906230235805,-114637.671875,0.02669901471092584,2449398811.781061,70.49318913429441,9.189886628212392e-93,-1.729185001489916
71.87239574680616,-114615.6787109375,0.02669964768253652,2449398811.781061,70.49320564721494,9.085437684209348e-93,-1.7291856175865867
71.87572919125428,-114593.6884765625,0.02670028056622975,2449398811.781061,70.49322215650557,8.982276122246892e-93,-1.7291862335726829
