r,N_LSP,N_B,Phi,phi
23.904130138432215,2449398811.781061,67.1000439444323,3.6350622108580675e-22,-1.647471198949256
23.90746358288033,2449398811.781061,67.10134486773956,3.595385011024358e-22,-1.6474997049176943
23.910797027328446,2449398811.781061,67.10264518523013,3.556133034211374e-22,-1.6475281982880867
23.91413047177656,2449398811.781061,67.10394489703255,3.517306299882319e-22,-1.6475566790651488
23.917463916224673,2449398811.781061,67.10524400327554,3.4789048275002696e-22,-1.6475851472535956
23.92079736067279,2449398811.781061,67.10654250408808,3.4409286365283067e-22,-1.647613602858142
23.924130805120903,2449398811.781061,67.10784039959937,3.40337774642963e-22,-1.6476420458835035
23.92746424956902,2449398811.781061,67.1091376899388,3.366252176667279e-22,-1.647670476334395
23.930797694017134,2449398811.781061,67.11043437523604,3.329551946704453e-22,-1.6476988942155313
23.93413113846525,2449398811.781061,67.11173045562094,3.293277076004193e-22,-1.647727299531628
23.937464582913364,2449398811.781061,67.113025932334,3.2574116917602002e-22,-1.6477556922962435
23.940798027361478,2449398811.781061,67.11432080703167,3.221913756858655e-22,-1.6477840725374715
23.944131471809595,2449398811.781061,67.11561508025807,3.186781038919424e-22,-1.6478124402612315
23.947464916257708,2449398811.781061,67.11690875213945,3.152013554548774e-22,-1.6478407954721916
23.950798360705825,2449398811.781061,67.11820182280232,3.117611320352823e-22,-1.647869138175019
23.95413180515394,2449398811.781061,67.1194942923734,3.0835743529378366e-22,-1.6478974683743814
23.957465249602052,2449398811.781061,67.12078616097966,3.0499026689099693e-22,-1.6479257860749463
23.96079869405017,2449398811.781061,67.12207742874826,3.016596284875378e-22,-1.647954091281381
23.964132138498282,2449398811.781061,67.12336809580658,2.9836552174403265e-22,-1.6479823839983532
23.9674655829464,2449398811.781061,67.12465816228227,2.9510794832109353e-22,-1.6480106642305306
23.970799027394513,2449398811.781061,67.12594762830317,2.9188690987934675e-22,-1.6480389319825806
23.97413247184263,2449398811.781061,67.12723649399732,2.8870240807940446e-22,-1.648067187259171
23.977465916290743,2449398811.781061,67.12852475949302,2.855544445818928e-22,-1.6480954300649686
23.980799360738857,2449398811.781061,67.12981242491878,2.8244302104742746e-22,-1.6481236604046419
23.984132805186974,2449398811.781061,67.13109949166954,2.7936633024946987e-22,-1.648151878294469
23.987466249635087,2449398811.781061,67.13238596138618,2.763210798484915e-22,-1.6481800837602347
23.990799694083204,2449398811.781061,67.13367183444134,2.7330720201136386e-22,-1.6482082768070045
23.994133138531318,2449398811.781061,67.13495711096002,2.7032469815492496e-22,-1.6482364574393986
23.99746658297943,2449398811.781061,67.13624179106738,2.6737356969600284e-22,-1.6482646256620375
24.000800027427548,2449398811.781061,67.13752587488884,2.64453818051426e-22,-1.648292781479542
24.00413347187566,2449398811.781061,67.13880936255002,2.6156544463803203e-22,-1.6483209248965325
24.00746691632378,2449398811.781061,67.14009225417676,2.587084508726463e-22,-1.6483490559176297
24.010800360771892,2449398811.781061,67.14137454989515,2.5588283817210624e-22,-1.6483771745474542
