r,J_LSP,J_B,ratio_running
0.17000566785386179,5.149626954737987e-05,4.1291356236899615e-15,12471440572.678679
0.17333911230197674,5.354222400000331e-05,4.304588964198294e-15,12438405721.270823
0.17667255675009166,5.562842824329128e-05,4.484415917597087e-15,12404832483.312346
0.18000600119820662,5.7754884795390956e-05,4.6686736523485875e-15,12370726483.813496
0.18333944564632154,5.992174690428002e-05,4.8574330321906004e-15,12336093263.082325
0.18667289009443647,6.21288527421864e-05,5.050740802677413e-15,12300938648.297237
0.19000633454255142,6.437641939771296e-05,5.248675996255032e-15,12265268315.980259
0.19333977899066634,6.66643487441168e-05,5.451293484085196e-15,12229088185.903095
0.1966732234387813,6.8992723064011e-05,5.658664378881395e-15,12192404151.321922
0.20000666788689622,7.136160918645671e-05,5.870860142571215e-15,12155222140.10757
0.20334011233501117,7.377092665888646e-05,6.087941627208824e-15,12117548290.736269
0.2066735567831261,7.62209075647313e-05,6.309997176592758e-15,12079388537.205132
0.21000700123124105,7.871136953250862e-05,6.5370823765220745e-15,12040749220.967512
0.21334044567935598,8.124252691115688e-05,6.769287484772121e-15,12001636375.160067
0.2166738901274709,8.381429939673853e-05,7.006679842192279e-15,11962056392.534466
0.22000733457558586,8.642675954060737e-05,7.249341304068945e-15,11922015520.5132
0.22334077902370078,8.907999217896357e-05,7.497356517051008e-15,11881520103.301968
0.22667422347181573,9.177390720452348e-05,7.750797087520158e-15,11840576674.661243
0.23000766791993066,9.450875452484305e-05,8.00976530776227e-15,11799191473.59468
0.2333411123680456,9.728434896145964e-05,8.274328241770323e-15,11757371247.414436
0.23667455681616054,0.00010010090240096779,8.544588732629544e-15,11715122346.229338
0.2400080012642755,0.0001029583519740199,8.820627973243616e-15,11672451472.42719
0.24334144571239041,0.00010585676114360023,9.102539905810638e-15,11629365236.402445
0.24667489016050534,0.00010879623223277317,9.390423867183108e-15,11585870219.659138
0.2500083346086203,0.00011177666558191109,9.684363567020922e-15,11541973285.942581
0.2533417790567353,0.00011479832923043448,9.984476880473087e-15,11497680910.549124
0.25667522350485017,0.00011786103484525322,1.0290843761660436e-14,11453000120.782734
0.2600086679529651,0.00012096499215719579,1.0603581228683411e-14,11407937521.14401
0.2633421124010801,0.0001241101557407097,1.0922785953777835e-14,11362500031.210814
0.26667555684919503,0.00012729657963200266,1.1248565535255171e-14,11316694491.66924
0.2700090012973099,0.00013052438405507252,1.158103576558964e-14,11270527671.01328
0.2733424457454249,0.00013379345978530314,1.1920294032748635e-14,11224006674.477345
0.27667589019353983,0.0001371040928297705,1.2266475705217597e-14,11177138089.58613
0.28000933464165473,0.00014045609197992472,1.2619675277362807e-14,11129929169.562317
0.2833427790897697,0.00014384966442079257,1.2980025791420297e-14,11082386640.238894
0.28667622353788463,0.00014728478263594875,1.3347641303363051e-14,11034517581.682323
0.2900096679859996,0.00015076149102336215,1.3722644890238355e-14,10986328964.222254
0.2933431124341145,0.0001542799278707125,1.4105170860512712e-14,10937827651.74562
0.29667655688222944,0.00015783998030814982,1.449533268241684e-14,10889020884.606066
0.3000100013303444,0.00016144193429497942,1.489328372537929e-14,10839915311.615938
0.3033434457784593,0.00016508561379764252,1.5299136659885656e-14,10790518280.06067
0.30667689022657424,0.0001687712177411225,1.5713042123374244e-14,10740836587.592646
0.3100103346746892,0.0001724987360677801,1.6135133774276918e-14,10690877341.39412
0.31334377912280414,0.0001762682040319259,1.656555227870695e-14,10640647596.065826
0.31667722357091904,0.00018007977761492046,1.700445285619594e-14,10590154187.131315
0.320010668019034,0.00018393334148100523,1.7451967292439945e-14,10539404434.976435
0.32334411246714895,0.00018782917884598517,1.790826918442904e-14,10488404932.47107
0.32667755691526384,0.00019176713168974274,1.8373491958263197e-14,10437163067.606123
0.3300110013633788,0.0001957473893660741,1.884780620587601e-14,10385685592.684399
0.33334444581149375,0.00019976995982189352,1.933136776525087e-14,10333979584.258404
0.3366778902596087,0.00020383486892478102,1.9824337328082056e-14,10282052083.326883
0.3400113347077236,0.00020794229051706963,2.032689380275882e-14,10229909819.711222
0.34334477915583855,0.00021209210638401741,2.083918980519216e-14,10177560085.909573
0.3466782236039535,0.00021628456734653086,2.136141881638535e-14,10125009448.371895
0.3500116680520684,0.00022051953398235873,2.1893737874456988e-14,10072265195.046238
0.35334511250018336,0.00022479743741349716,2.243636635872986e-14,10019333515.029263
0.3566785569482983,0.00022911789674379937,2.2989443101744368e-14,9966222136.386358
0.36001200139641326,0.00023348097416623392,2.3553156100059923e-14,9912937916.86966
0.36334544584452816,0.00023788726910717724,2.4127754134564904e-14,9859486621.939049
0.3666788902926431,0.00024233642188001815,2.471338862865333e-14,9805875896.721308
0.37001233474075806,0.0002468283842836174,2.5310247191449216e-14,9752112747.717676
0.37334577918887296,0.0002513634402272032,2.5918557040312593e-14,9698203485.48893
0.3766792236369879,0.00025594186672252327,2.653854931031694e-14,9644154385.749529
0.38001266808510287,0.0002605633000328006,2.7170389224799927e-14,9589973035.60782
